distnum,distname,bloc_share,cpc_share,gpc_share,lpc_share,ndp_share,ind_share,bloc_margin,cpc_margin,gpc_margin,lpc_margin,ndp_margin,ind_margin,winner,winnershare,province
24014,Pierre-Boucher--Les Patriotes--Verchères,28.6,10.2,8.5,28.3,24.3,0.0,0.0,-18.400000000000002,-20.1,-0.3000000000000007,-4.300000000000001,-28.6,Bloc,28.6,Quebec
24056,Pierrefonds--Dollard,3.5,20.0,1.5,58.7,16.4,0.0,-55.2,-38.7,-57.2,0.0,-42.300000000000004,-58.7,LPC,58.7,Quebec
24057,Pontiac,6.9,13.9,1.7,54.5,22.5,0.2,-47.6,-40.6,-52.8,0.0,-32.0,-54.3,LPC,54.5,Quebec
24058,Portneuf--Jacques-Cartier,10.7,44.0,1.8,21.5,22.1,0.0,-33.3,0.0,-42.2,-22.5,-21.9,-44.0,CPC,44.0,Quebec
24059,Québec,18.8,21.8,2.9,28.9,27.0,0.3,-10.099999999999998,-7.099999999999998,-26.0,0.0,-1.8999999999999986,-28.599999999999998,LPC,28.9,Quebec
24060,Repentigny,34.7,10.8,1.9,27.3,23.3,2.0,0.0,-23.900000000000002,-32.800000000000004,-7.400000000000002,-11.400000000000002,-32.7,Bloc,34.7,Quebec
24061,Richmond--Arthabaska,17.2,31.6,1.7,24.7,24.2,0.7,-14.400000000000002,0.0,-29.900000000000002,-6.900000000000002,-7.400000000000002,-30.900000000000002,CPC,31.6,Quebec
24018,Rimouski-Neigette--Témiscouata--Les Basques,19.3,7.5,1.5,28.0,43.1,0.6,-23.8,-35.6,-41.6,-15.100000000000001,0.0,-42.5,NDP,43.1,Quebec
24062,Rivière-des-Mille-Îles,25.4,10.5,2.0,32.4,29.5,0.3,-7.0,-21.9,-30.4,0.0,-2.8999999999999986,-32.1,LPC,32.4,Quebec
24063,Rivière-du-Nord,32.0,8.5,2.5,26.4,30.1,0.5,0.0,-23.5,-29.5,-5.600000000000001,-1.8999999999999986,-31.5,Bloc,32.0,Quebec
24064,Rosemont--La Petite-Patrie,21.1,4.3,3.1,20.7,49.2,0.8,-28.1,-44.900000000000006,-46.1,-28.500000000000004,0.0,-48.400000000000006,NDP,49.2,Quebec
24066,Saint-Hyacinthe--Bagot,24.3,16.7,2.3,27.6,28.7,0.5,-4.399999999999999,-12.0,-26.4,-1.0999999999999979,0.0,-28.2,NDP,28.7,Quebec
24067,Saint-Jean,24.8,10.8,2.1,33.2,29.1,0.0,-8.400000000000002,-22.400000000000002,-31.1,0.0,-4.100000000000001,-33.2,LPC,33.2,Quebec
24068,Saint-Laurent,4.7,19.5,2.4,61.6,11.5,0.3,-56.9,-42.1,-59.2,0.0,-50.1,-61.300000000000004,LPC,61.6,Quebec
24069,Saint-Léonard--Saint-Michel,7.2,11.1,1.8,64.7,14.8,0.3,-57.5,-53.6,-62.900000000000006,0.0,-49.900000000000006,-64.4,LPC,64.7,Quebec
24070,Saint-Maurice--Champlain,19.2,16.3,1.9,41.5,20.8,0.3,-22.3,-25.2,-39.6,0.0,-20.7,-41.2,LPC,41.5,Quebec
24071,Salaberry--Suroît,28.4,10.0,1.4,29.2,30.4,0.4,-2.0,-20.4,-29.0,-1.1999999999999993,0.0,-30.0,NDP,30.4,Quebec
24072,Shefford,22.2,12.8,2.4,39.0,23.7,0.0,-16.8,-26.2,-36.6,0.0,-15.3,-39.0,LPC,39.0,Quebec
24073,Sherbrooke,20.4,9.4,2.0,29.8,37.4,0.5,-17.0,-28.0,-35.4,-7.599999999999998,0.0,-36.9,NDP,37.4,Quebec
24075,Terrebonne,33.0,11.3,1.7,28.0,25.6,0.3,0.0,-21.7,-31.3,-5.0,-7.399999999999999,-32.7,Bloc,33.0,Quebec
